case_id,generator_variant,target_volume_fraction,target_mean_diameter_um,target_mean_ps,target_kappa,matrix_mu,matrix_alpha,matrix_d,fiber_mu,fiber_alpha,stabilizer_mu,stabilizer_alpha,preferred_direction_x,preferred_direction_y,preferred_direction_z,seed,cpus,double_precision
case_0001,straight,0.356364,0.495354,0.8776,0,81.430244,-23.961539,0,986.07705,4.316699,1,2,1,0,0,42,4,FALSE
case_0002,straight,0.399664,0.475467,0.8776,0,355.125483,-4.5686,0,142.336791,20.451559,1,2,1,0,0,42,4,FALSE
case_0003,straight,0.369674,0.525009,0.8776,0,140.063872,-8.24109,0,120.363254,23.262663,1,2,1,0,0,42,4,FALSE
case_0004,straight,0.394185,0.534146,0.8776,0,120.587523,-4.222847,0,647.014534,25.706264,1,2,1,0,0,42,4,FALSE
case_0005,straight,0.333269,0.52847,0.8776,0,370.732041,-4.99156,0,773.700045,2.354291,1,2,1,0,0,42,4,FALSE
case_0006,straight,0.364205,0.470679,0.8776,0,136.730159,-18.687492,0,564.588978,24.072271,1,2,1,0,0,42,4,FALSE
case_0007,straight,0.30037,0.416178,0.8776,0,98.397607,-8.941385,0,153.782015,10.110481,1,2,1,0,0,42,4,FALSE
case_0008,straight,0.346458,0.521838,0.8776,0,268.928396,-4.240897,0,557.612171,15.721931,1,2,1,0,0,42,4,FALSE
case_0009,straight,0.387861,0.577406,0.8776,0,328.070019,-21.216133,0,243.03945,15.160196,1,2,1,0,0,42,4,FALSE
case_0010,straight,0.333386,0.44932,0.8776,0,222.005141,-20.12155,0,908.600623,10.364235,1,2,1,0,0,42,4,FALSE
case_0011,straight,0.309245,0.57063,0.8776,0,200.651028,-19.939181,0,512.45192,11.162645,1,2,1,0,0,42,4,FALSE
case_0012,straight,0.395494,0.548621,0.8776,0,137.981276,-18.593377,0,859.060608,12.408659,1,2,1,0,0,42,4,FALSE
case_0013,straight,0.315977,0.455204,0.8776,0,310.91051,-19.39586,0,346.088549,9.526474,1,2,1,0,0,42,4,FALSE
case_0014,straight,0.306463,0.509186,0.8776,0,357.613372,-21.930425,0,236.520311,10.191885,1,2,1,0,0,42,4,FALSE
case_0015,straight,0.331437,0.569633,0.8776,0,168.075495,-16.659334,0,548.304301,20.986622,1,2,1,0,0,42,4,FALSE
case_0016,straight,0.397103,0.583033,0.8776,0,105.383697,-15.919346,0,351.547404,17.007349,1,2,1,0,0,42,4,FALSE
