case_id,generator_variant,fiber_volume_fraction,mean_diameter_um,kappa,mean_ps,matrix_mu,matrix_alpha,matrix_d,fiber_mu,fiber_alpha,target_fiber_volume_fraction,target_mean_diameter_um,target_kappa,target_mean_ps,fitted_k1,fitted_k2,fit_energy_rmse,fit_energy_r2,fit_relevant_stress_rmse,fit_relevant_stress_r2,accepted_axons,attempts_total,seed,matrix_element_type,matrix_fit_representation
case_0001,straight,0.3563640000000005,0.495354,0.0,0.8772471788104559,81.430244,-23.961539,0.0,986.07705,4.316699,0.356364,0.495354,0.0,0.8776,47.10916935453884,0.509928024303473,0.2900200140735188,0.9994304231516375,2.9591904241290288,0.9991079472008554,1022,,42,C3D8RH,exact_one_term_ogden
case_0002,straight,0.3996639999999994,0.4754669999999999,0.0,0.873925104611088,355.125483,-4.5686,0.0,142.336791,20.451559,0.399664,0.475467,0.0,0.8776,26.307082203055334,2.592944396276007,0.4410593376978687,0.9995509159238632,4.844130912577402,0.9991894672829572,1244,,42,C3D8RH,exact_one_term_ogden
case_0003,straight,0.3696739999999996,0.5250089999999998,0.0,0.8752892224765643,140.063872,-8.24109,0.0,120.363254,23.262663,0.369674,0.525009,0.0,0.8776,23.79771233456009,3.135557899191679,0.5360903270595442,0.9987434811691984,7.99403976500988,0.9984359339959712,963,,42,C3D8RH,exact_one_term_ogden
case_0004,straight,0.3941850000000004,0.534146,0.0,0.8752143511544291,120.587523,-4.222847,0.0,647.014534,25.706264,0.394185,0.534146,0.0,0.8776,93.83961928431688,4.361185058299669,15.845477006376614,0.9798924142390896,246.93723280078444,0.9852094021976012,981,,42,C3D8RH,exact_one_term_ogden
case_0005,straight,0.3332689999999998,0.5284699999999999,5.551115123125783e-17,0.8731819918107289,370.732041,-4.99156,0.0,773.700045,2.354291,0.333269,0.52847,0.0,0.8776,39.10519287163713,0.13139415610055,0.1544588989168118,0.9999244428013184,1.2317526317210643,0.999783606099644,853,,42,C3D8RH,exact_one_term_ogden
case_0006,straight,0.3642049999999995,0.4706789999999999,0.0,0.8749606365932618,136.730159,-18.687492,0.0,564.588978,24.072271,0.364205,0.470679,0.0,0.8776,82.78212554264078,3.7546691493613022,6.166408302086718,0.9915759215746076,97.50029987616766,0.9922783974224848,1157,,42,C3D8RH,exact_one_term_ogden
case_0007,straight,0.3003699999999996,0.4161779999999999,0.0,0.8755893595367686,98.397607,-8.941385,0.0,153.782015,10.110481,0.30037,0.416178,0.0,0.8776,9.440771504046088,1.0016802872186663,0.0613810989705007,0.9998522380978254,0.5427308490092206,0.9996335830818172,1233,,42,C3D8RH,exact_one_term_ogden
case_0008,straight,0.3464579999999987,0.521838,0.0,0.8739126233356785,268.928396,-4.240897,0.0,557.612171,15.721931,0.346458,0.521838,0.0,0.8776,53.7244678459076,1.892908122191209,0.5613506536773623,0.9992623367014308,6.311375892305807,0.9987054558459778,907,,42,C3D8RH,exact_one_term_ogden
case_0009,straight,0.3878610000000002,0.577406,0.0,0.8712983740667647,328.070019,-21.216133,0.0,243.03945,15.160196,0.387861,0.577406,0.0,0.8776,27.262389519912183,1.7910529012114182,0.2685341910625818,0.9999154977665758,2.8757682046526067,0.9998635215276552,835,,42,C3D8RH,exact_one_term_ogden
case_0010,straight,0.3333860000000003,0.4493199999999999,0.0,0.874645788978597,222.005141,-20.12155,0.0,908.600623,10.364235,0.333386,0.44932,0.0,0.8776,58.314892637660726,1.1223146196520783,0.4016855248772747,0.9996826018273473,4.295068555226418,0.9994454454198396,1162,,42,C3D8RH,exact_one_term_ogden
case_0011,straight,0.3092449999999996,0.5706299999999999,0.0,0.8781434204321097,200.651028,-19.939181,0.0,512.45192,11.162645,0.309245,0.57063,0.0,0.8776,35.22267879062763,1.1957455465969509,0.2381326853911033,0.9998269838135928,2.489312142361319,0.9997020662723628,681,,42,C3D8RH,exact_one_term_ogden
case_0012,straight,0.3954940000000006,0.5486209999999998,0.0,0.8742262768064822,137.981276,-18.593377,0.0,859.060608,12.408659,0.395494,0.548621,0.0,0.8776,69.06185525134526,1.495590809845334,0.6626312818765202,0.9988820113563944,7.75076732858422,0.998120566324084,942,,42,C3D8RH,exact_one_term_ogden
case_0013,straight,0.3159770000000004,0.455204,0.0,0.8772319103922944,310.91051,-19.39586,0.0,346.088549,9.526474,0.315977,0.455204,0.0,0.8776,21.660377596995712,0.9549527919093858,0.1367412743508133,0.9999646278786352,1.2977738140018706,0.999941931355112,1073,,42,C3D8RH,exact_one_term_ogden
case_0014,straight,0.3064630000000001,0.5091860000000001,0.0,0.8737163866267897,357.613372,-21.930425,0.0,236.520311,10.191885,0.306463,0.509186,0.0,0.8776,14.923142458846506,1.0426298150137323,0.0954630596113346,0.9999901484165684,0.9315077284756343,0.9999857598771004,840,,42,C3D8RH,exact_one_term_ogden
case_0015,straight,0.3314369999999996,0.5696329999999998,0.0,0.8782501352613813,168.075495,-16.659334,0.0,548.304301,20.986622,0.331437,0.569633,0.0,0.8776,71.18480068920144,2.969542463322308,1.958771957496178,0.9972815736132592,30.19682012550246,0.9965586277337728,727,,42,C3D8RH,exact_one_term_ogden
case_0016,straight,0.3971030000000006,0.583033,5.551115123125783e-17,0.8713351485435464,105.383697,-15.919346,0.0,351.547404,17.007349,0.397103,0.583033,0.0,0.8776,40.59554791393963,2.22300603540222,0.5905895797641085,0.9985437795850725,7.963446938542459,0.9977577182705344,833,,42,C3D8RH,exact_one_term_ogden
case_0017,straight,0.3906500000000007,0.440397,0.0,0.8786659855427398,281.194872,-6.402519,0.0,353.922236,23.384831,0.39065,0.440397,0.0,0.8776,72.13179656249838,3.2227266479391856,1.7902194258025212,0.9982900490587276,29.58751831857953,0.9978251767727,1424,,42,C3D8RH,exact_one_term_ogden
case_0018,straight,0.325807,0.4017489999999999,0.0,0.8789127384817618,282.284878,-22.795185,0.0,138.695941,7.414623,0.325807,0.401749,0.0,0.8776,8.447725603049978,0.6940394505476853,0.0461831288694118,0.999996631314654,0.4459850437451296,0.9999954832309844,1461,,42,C3D8RH,exact_one_term_ogden
case_0019,straight,0.3294840000000004,0.4368449999999999,0.0,0.8749123148672354,238.795708,-10.758726,0.0,704.212462,24.479111,0.329484,0.436845,0.0,0.8776,107.98341003983565,3.733183833435455,6.774057332347491,0.9935471974071544,113.0317694123354,0.9935643543723632,1216,,42,C3D8RH,exact_one_term_ogden
case_0020,straight,0.3503500000000013,0.4033169999999998,0.0,0.8800046792908451,121.938223,-14.059373,0.0,111.478224,20.103586,0.35035,0.403317,0.0,0.8776,16.241449356965227,2.597587333696959,0.2638722716321275,0.9993385455946702,3.328831954678088,0.9989855091843698,1540,,42,C3D8RH,exact_one_term_ogden
case_0021,straight,0.3490700000000005,0.4078769999999999,5.551115123125783e-17,0.8781280247791696,97.545926,-12.056405,0.0,785.694808,6.652985,0.34907,0.407877,0.0,0.8776,49.634679916357214,0.5930067934815404,0.236018923921272,0.9993761965770648,2.38472245020768,0.9986106287071166,1506,,42,C3D8RH,exact_one_term_ogden
case_0022,straight,0.3480410000000001,0.516704,0.0,0.8741781428064698,237.896054,-18.650362,0.0,208.78909,29.103324,0.348041,0.516704,0.0,0.8776,67.26701295133529,4.243714042650396,3.824655127332465,0.9974551474045305,78.48658770659583,0.9970420806319906,930,,42,C3D8RH,exact_one_term_ogden
case_0023,straight,0.3690279999999993,0.518512,0.0,0.8752225786581427,259.157632,-9.211563,0.0,159.820306,10.38359,0.369028,0.518512,0.0,0.8776,13.028269370197448,1.0126726303906035,0.0861576713426729,0.9999496196811558,0.7140547375208941,0.999872830307406,978,,42,C3D8RH,exact_one_term_ogden
case_0024,straight,0.3868099999999992,0.4798899999999999,0.0,0.8755884173900027,98.47985,-15.13178,0.0,163.145985,8.039287,0.38681,0.47989,0.0,0.8776,11.849119314984812,0.7329328625788791,0.0620415476413051,0.99989936619941,0.5649277816706986,0.9997988058839048,1186,,42,C3D8RH,exact_one_term_ogden
case_0025,straight,0.3665720000000001,0.473553,0.0,0.8741200446346236,228.630888,-20.826214,0.0,103.351611,18.395699,0.366572,0.473553,0.0,0.8776,13.26534250165562,2.291183061233373,0.1843755120502145,0.9999113835632648,2.017472579527167,0.9998558521627806,1150,,42,C3D8RH,exact_one_term_ogden
case_0026,straight,0.3260150000000008,0.453249,5.551115123125783e-17,0.8744188298982236,168.985126,-21.683869,0.0,311.759764,24.105822,0.326015,0.453249,0.0,0.8776,57.146366310270174,3.409611091873068,1.808290539148681,0.9981472517982674,30.99376737657269,0.9976299926596784,1122,,42,C3D8RH,exact_one_term_ogden
case_0027,straight,0.3113580000000003,0.566366,0.0,0.8772025200262928,119.169595,-5.651756,0.0,156.954545,13.462848,0.311358,0.566366,0.0,0.8776,13.371707101484422,1.4817859140168814,0.1090017734771933,0.9997258830690244,1.037482670816145,0.9993675505168952,699,,42,C3D8RH,exact_one_term_ogden
case_0028,straight,0.3863569999999998,0.5805089999999999,0.0,0.8719056274532088,287.221614,-10.806386,0.0,494.365741,20.699834,0.386357,0.580509,0.0,0.8776,75.31463956457054,2.797591118063067,1.4677244774571108,0.9984811371392716,22.09904707952903,0.9978485543987335,819,,42,C3D8RH,exact_one_term_ogden
case_0029,straight,0.3248370000000001,0.4491449999999999,0.0,0.8729210155604333,298.666129,-18.430607,0.0,369.803343,15.228328,0.324837,0.449145,0.0,0.8776,33.084399711048135,1.807511015009821,0.3314059718086993,0.9998088147987768,3.576869583648847,0.9996630525283284,1133,,42,C3D8RH,exact_one_term_ogden
case_0030,straight,0.384409000000001,0.5433499999999999,0.0,0.8736987958253352,273.992179,-7.254426,0.0,359.296054,2.516547,0.384409,0.54335,0.0,0.8776,21.856234389323827,0.1266388127998414,0.087589853377327,0.999952000756228,0.6819992985980701,0.9998718576119732,931,,42,C3D8RH,exact_one_term_ogden
case_0031,straight,0.3668299999999997,0.480478,0.0,0.8748698025738695,320.128827,-18.571014,0.0,179.841602,9.989385,0.36683,0.480478,0.0,0.8776,13.782184025443543,0.9969725684378832,0.0859545773790443,0.9999843188044591,0.7979547445690612,0.999973384099444,1126,,42,C3D8RH,exact_one_term_ogden
case_0032,straight,0.3478630000000002,0.4722839999999999,0.0,0.87557043290849,174.417273,-23.550121,0.0,146.133482,19.077668,0.347863,0.472284,0.0,0.8776,18.494448647830755,2.4323775051341854,0.2768799491409103,0.9998110520536888,3.326359025797321,0.999720710751906,1097,,42,C3D8RH,exact_one_term_ogden
case_0033,straight,0.3047290000000003,0.5877769999999999,0.0,0.8804315742242259,106.963048,-5.797903,0.0,505.362694,4.201977,0.304729,0.587777,0.0,0.8776,26.788927675738947,0.2835779105544856,0.1056167540130298,0.9997320709067202,0.9472909241967248,0.9992600342931834,637,,42,C3D8RH,exact_one_term_ogden
case_0034,straight,0.3194150000000009,0.514251,0.0,0.8733748685459034,86.166064,-8.305108,0.0,205.618331,8.141789,0.319415,0.514251,0.0,0.8776,13.277965527167051,0.72463156452588,0.0697659808315305,0.9997862552183688,0.625493994901279,0.999465631826627,871,,42,C3D8RH,exact_one_term_ogden
case_0035,straight,0.3811019999999998,0.5972209999999999,5.551115123125783e-17,0.8755584100376271,222.554547,-6.218712,0.0,300.74046,5.442623,0.381102,0.597221,0.0,0.8776,19.83695114420997,0.3988378266721585,0.0946740255107558,0.9999191898856862,0.7652513316476826,0.9997754709878984,765,,42,C3D8RH,exact_one_term_ogden
case_0036,straight,0.3785359999999991,0.418042,0.0,0.878561116371581,380.210672,-6.274984,0.0,213.774495,11.993465,0.378536,0.418042,0.0,0.8776,18.57239925903125,1.251607486134478,0.1418254886029534,0.9999340471892804,1.183408592191782,0.9998199726472532,1538,,42,C3D8RH,exact_one_term_ogden
