case_id,generator_variant,fiber_volume_fraction,mean_diameter_um,kappa,mean_ps,matrix_mu,matrix_alpha,matrix_d,fiber_mu,fiber_alpha,target_fiber_volume_fraction,target_mean_diameter_um,target_kappa,target_mean_ps,fitted_k1,fitted_k2,fit_energy_rmse,fit_energy_r2,fit_relevant_stress_rmse,fit_relevant_stress_r2,accepted_axons,attempts_total,seed,matrix_element_type,matrix_fit_representation
case_0001,straight,0.3563640000000005,0.495354,0.0,0.8772471788104559,81.430244,-23.961539,0.0,986.07705,4.316699,0.356364,0.495354,0.0,0.8776,48.30538642388182,0.466743153311015,0.2716690553169104,0.9995002224603218,3.3001914452696277,0.99889051099486,1022,,42,C3D8RH,exact_one_term_ogden
case_0002,straight,0.3996639999999994,0.4754669999999999,0.0,0.873925104611088,355.125483,-4.5686,0.0,142.336791,20.451559,0.399664,0.475467,0.0,0.8776,26.77380567076056,2.57092227683163,0.4581160641488297,0.9995155101805826,5.731175365779057,0.998865443307884,1244,,42,C3D8RH,exact_one_term_ogden
case_0003,straight,0.3696739999999996,0.5250089999999998,0.0,0.8752892224765643,140.063872,-8.24109,0.0,120.363254,23.262663,0.369674,0.525009,0.0,0.8776,24.5730198056124,3.092228835723281,0.5440115263829822,0.9987060745281396,8.874534836115448,0.998072414436596,963,,42,C3D8RH,exact_one_term_ogden
case_0004,straight,0.3941850000000004,0.534146,0.0,0.8752143511544291,120.587523,-4.222847,0.0,647.014534,25.706264,0.394185,0.534146,0.0,0.8776,108.78914867405682,4.162028064849877,14.097660435070065,0.9840836534739852,230.76016043191044,0.9870838155662298,981,,42,C3D8RH,exact_one_term_ogden
case_0005,straight,0.3332689999999998,0.5284699999999999,5.551115123125783e-17,0.8731819918107289,370.732041,-4.99156,0.0,773.700045,2.354291,0.333269,0.52847,0.0,0.8776,39.52268106114379,0.1173868167681136,0.1621731082293483,0.9999167071620164,1.53778570781715,0.999662720723444,853,,42,C3D8RH,exact_one_term_ogden
case_0006,straight,0.3642049999999995,0.4706789999999999,0.0,0.8749606365932618,136.730159,-18.687492,0.0,564.588978,24.072271,0.364205,0.470679,0.0,0.8776,88.91607441402383,3.652094392563391,5.795298252370092,0.9925593747915948,96.94425658928373,0.9923662187370574,1157,,42,C3D8RH,exact_one_term_ogden
case_0007,straight,0.3003699999999996,0.4161779999999999,0.0,0.8755893595367686,98.397607,-8.941385,0.0,153.782015,10.110481,0.30037,0.416178,0.0,0.8776,9.57579063950204,0.9831781265767576,0.0641204338931805,0.9998387550734982,0.6564860419544979,0.9994638855715612,1233,,42,C3D8RH,exact_one_term_ogden
case_0008,straight,0.3464579999999987,0.521838,0.0,0.8739126233356785,268.928396,-4.240897,0.0,557.612171,15.721931,0.346458,0.521838,0.0,0.8776,54.90498327040945,1.863674935308249,0.5805486943940875,0.9992110181434716,7.3531689196043875,0.9982428134907496,907,,42,C3D8RH,exact_one_term_ogden
case_0009,straight,0.3878610000000002,0.577406,0.0,0.8712983740667647,328.070019,-21.216133,0.0,243.03945,15.160196,0.387861,0.577406,0.0,0.8776,27.71079313258576,1.7686054912634923,0.2748520688551809,0.9999114747772404,3.3769127243312584,0.9998118102045336,835,,42,C3D8RH,exact_one_term_ogden
case_0010,straight,0.3333860000000003,0.4493199999999999,0.0,0.874645788978597,222.005141,-20.12155,0.0,908.600623,10.364235,0.333386,0.44932,0.0,0.8776,59.50769132331599,1.0916848019497345,0.3972854890245111,0.9996895172590642,4.927567681104767,0.9992700900356466,1162,,42,C3D8RH,exact_one_term_ogden
case_0011,straight,0.3092449999999996,0.5706299999999999,0.0,0.8781434204321097,200.651028,-19.939181,0.0,512.45192,11.162645,0.309245,0.57063,0.0,0.8776,35.83061614658025,1.1704490334142978,0.239889566531766,0.9998244214591128,2.8966172521380744,0.999596593230904,681,,42,C3D8RH,exact_one_term_ogden
case_0012,straight,0.3954940000000006,0.5486209999999998,0.0,0.8742262768064822,137.981276,-18.593377,0.0,859.060608,12.408659,0.395494,0.548621,0.0,0.8776,71.21647619099099,1.449551880922795,0.6183494667054632,0.9990264427297924,8.484428862135415,0.9977479251025212,942,,42,C3D8RH,exact_one_term_ogden
case_0013,straight,0.3159770000000004,0.455204,0.0,0.8772319103922944,310.91051,-19.39586,0.0,346.088549,9.526474,0.315977,0.455204,0.0,0.8776,21.982469027803685,0.9332059388522064,0.1393097719114892,0.9999632865647649,1.5397441994708356,0.9999182588335324,1073,,42,C3D8RH,exact_one_term_ogden
case_0014,straight,0.3064630000000001,0.5091860000000001,0.0,0.8737163866267897,357.613372,-21.930425,0.0,236.520311,10.191885,0.306463,0.509186,0.0,0.8776,15.137354701208038,1.020973309204114,0.0969359229945009,0.9999898420787768,1.097161969661457,0.9999802447603025,840,,42,C3D8RH,exact_one_term_ogden
case_0015,straight,0.3314369999999996,0.5696329999999998,0.0,0.8782501352613813,168.075495,-16.659334,0.0,548.304301,20.986622,0.331437,0.569633,0.0,0.8776,74.76880465226371,2.899395855857926,1.8213977002631636,0.9976495046891788,31.192491662653165,0.996327943407596,727,,42,C3D8RH,exact_one_term_ogden
case_0016,straight,0.3971030000000006,0.583033,5.551115123125783e-17,0.8713351485435464,105.383697,-15.919346,0.0,351.547404,17.007349,0.397103,0.583033,0.0,0.8776,42.08248035052011,2.171192959248114,0.5581417787974131,0.998699397395766,8.582935257438479,0.9973952882444672,833,,42,C3D8RH,exact_one_term_ogden
case_0017,straight,0.3906500000000007,0.440397,0.0,0.8786659855427398,281.194872,-6.402519,0.0,353.922236,23.384831,0.39065,0.440397,0.0,0.8776,75.44493396234397,3.161350438956847,1.7582006411645936,0.9983506683688368,31.31313336246908,0.9975640972913824,1424,,42,C3D8RH,exact_one_term_ogden
case_0018,straight,0.325807,0.4017489999999999,0.0,0.8789127384817618,282.284878,-22.795185,0.0,138.695941,7.414623,0.325807,0.401749,0.0,0.8776,8.57088754808672,0.6699471516200228,0.0465378059962795,0.9999965793743216,0.5223177598759141,0.9999938047779346,1461,,42,C3D8RH,exact_one_term_ogden
case_0019,straight,0.3294840000000004,0.4368449999999999,0.0,0.8749123148672354,238.795708,-10.758726,0.0,704.212462,24.479111,0.329484,0.436845,0.0,0.8776,117.40167189405196,3.6172023437661855,6.099040311228569,0.9947691333248908,109.64150914923648,0.993944624501962,1216,,42,C3D8RH,exact_one_term_ogden
case_0020,straight,0.3503500000000013,0.4033169999999998,0.0,0.8800046792908451,121.938223,-14.059373,0.0,111.478224,20.103586,0.35035,0.403317,0.0,0.8776,16.617084501178436,2.566976853695945,0.2698722117617184,0.999308123247528,3.830785300677831,0.9986564927922325,1540,,42,C3D8RH,exact_one_term_ogden
